Backbone ,n parameters,Pred Size,Stride,Image Size,Pre-trained,Custom Classifier,Version,Train F1,Val F1,Test F1,May F1,May Weed Precision,May Weed Recall,June F1,June Weed Precision,June Weed Recall
ResNet18,"11,689,512",16,16,128,No,TRUE,0,0.9859,0.8299,0.7903,0.4924,0.6504,0.7778,0.4302,0.6205,0.7219
ResNet18,"11,689,512",1,1,128,No,TRUE,0,0.9859,0.8299,0.7903,0.5426,0.73,0.8302,0.2739,0.6669,0.2312
